,Global_reactive_power,Voltage,Global_intensity,Date_day,Date_month,hour,minute,Total_sub_metering
631335,0.0,240.57,0.8,28.0,2.0,3.0,39.0,0.0
1446641,0.074,238.68,6.8,16.0,9.0,8.0,5.0,18.0
1046063,0.07,246.11,5.6,12.0,12.0,3.0,47.0,19.0
146275,0.0,239.42,7.0,28.0,3.0,7.0,19.0,18.0
340840,0.192,233.22500000000002,13.9,8.0,10.0,10.0,4.0,45.0
566987,0.056,239.19,6.0,14.0,1.0,11.0,11.0,18.0
35980,0.40800000000000003,241.14,2.8,1.0,10.0,17.0,4.0,0.0
671890,0.162,240.77,9.0,27.0,3.0,7.0,34.0,18.0
59348,0.0,238.17,13.9,26.0,1.0,22.0,32.0,0.0
669643,0.074,244.41,2.2,25.0,3.0,18.0,7.0,1.0
622619,0.0,244.39,1.0,22.0,2.0,2.0,23.0,0.0
306199,0.12,233.22500000000002,5.4,17.0,7.0,8.0,43.0,16.0
232440,0.088,236.59,1.4,27.0,5.0,3.0,24.0,0.0
773396,0.084,235.39,1.4,6.0,5.0,19.0,20.0,0.0
341585,0.0,234.9,0.6,8.0,10.0,22.0,29.0,1.0
52112,0.24,237.65,13.9,21.0,1.0,21.0,56.0,17.0
1077776,0.084,246.77,1.2,1.0,3.0,4.0,20.0,1.0
650874,0.104,243.59,1.4,3.0,12.0,17.0,18.0,0.0
1852254,0.098,240.83,1.0,25.0,6.0,0.0,18.0,2.0
1460958,0.318,241.55,3.8,26.0,9.0,6.0,42.0,11.0
1116687,0.21,247.22,1.8,30.0,1.0,4.0,51.0,0.0
453792,0.0,241.45,0.8,27.0,10.0,20.0,36.0,0.0
524633,0.284,247.67,2.0,16.0,12.0,1.0,17.0,1.0
1889831,0.236,240.8,1.6,21.0,7.0,2.0,35.0,2.0
427233,0.164,234.78,5.8,10.0,9.0,9.0,57.0,17.0
1974546,0.336,244.37,2.6,17.0,9.0,22.0,30.0,1.0
1142864,0.066,242.86,1.6,17.0,2.0,9.0,8.0,0.0
606732,0.0,242.59,1.0,2.0,11.0,1.0,36.0,0.0
1622066,0.22,244.55,1.8,16.0,1.0,3.0,50.0,2.0
1620181,0.224,242.95,10.8,14.0,1.0,20.0,25.0,19.0
1809275,0.0,241.53,0.8,26.0,5.0,3.0,59.0,1.0
205380,0.0,234.33,0.8,5.0,8.0,8.0,24.0,0.0
2013949,0.156,240.87,8.6,15.0,10.0,7.0,13.0,18.0
1905272,0.21,241.29,1.6,31.0,7.0,19.0,56.0,0.0
2073386,0.066,241.51,1.6,25.0,11.0,13.0,50.0,0.0
1847125,0.058,238.9,5.2,21.0,6.0,10.0,49.0,18.0
442664,0.104,243.22,1.4,20.0,10.0,3.0,8.0,0.0
144527,0.116,241.61,1.4,27.0,3.0,2.0,11.0,0.0
894402,0.14,240.61,0.8,28.0,8.0,20.0,6.0,2.0
1533848,0.262,237.69,13.2,15.0,11.0,21.0,32.0,19.0
434656,0.40800000000000003,239.4,4.6,14.0,10.0,13.0,40.0,3.0
1651198,0.058,238.8,6.8,2.0,5.0,9.0,22.0,19.0
720996,0.0,241.39,5.4,30.0,4.0,10.0,0.0,18.0
2018119,0.098,242.82,1.4,18.0,10.0,4.0,43.0,1.0
786646,0.112,241.75,2.8,15.0,6.0,0.0,10.0,1.0
1935373,0.12389290560382264,240.82676954857766,4.647313526540645,21.0,8.0,17.0,37.0,7.813293638738684
2002131,0.06,244.53,1.2,10.0,7.0,2.0,15.0,1.0
67993,0.0,243.6,5.6,2.0,1.0,22.0,37.0,18.0
1385130,0.0,242.62,0.6,8.0,4.0,14.0,54.0,0.0
839737,0.21,239.22,2.8,21.0,7.0,21.0,1.0,0.0
1464954,0.084,242.09,1.0,29.0,9.0,1.0,18.0,1.0
1243377,0.2,242.83,2.2,28.0,4.0,4.0,21.0,1.0
1159508,0.078,241.14,2.2,28.0,2.0,22.0,32.0,1.0
987501,0.054,240.02,2.0,11.0,1.0,11.0,45.0,0.0
583051,0.126,240.99,6.4,25.0,1.0,14.0,55.0,19.0
952252,0.086,243.35,1.6,10.0,8.0,0.0,16.0,0.0
1578221,0.086,243.88,2.8,16.0,12.0,17.0,5.0,0.0
538160,0.106,243.12,10.4,25.0,12.0,10.0,44.0,18.0
1466828,0.09,240.09,5.2,30.0,9.0,8.0,32.0,19.0
1285526,0.066,233.22500000000002,9.0,27.0,5.0,10.0,50.0,25.0
1460897,0.146,243.67,1.0,26.0,9.0,5.0,41.0,1.0
1263994,0.094,239.5,6.0,5.0,12.0,11.0,58.0,18.0
921539,0.11,244.46,1.8,16.0,9.0,16.0,23.0,0.0
684067,0.09,238.96,1.2,4.0,4.0,18.0,31.0,0.0
1818175,0.062,235.23,13.9,6.0,1.0,8.0,19.0,17.0
376378,0.23,243.06,1.4,9.0,4.0,2.0,22.0,1.0
1034107,0.056,239.21,7.4,12.0,3.0,20.0,31.0,0.0
836012,0.0,240.73,0.6,19.0,7.0,6.0,56.0,1.0
207425,0.242,237.28,2.0,5.0,9.0,18.0,29.0,2.0
1543530,0.19,241.24,7.4,22.0,11.0,14.0,54.0,18.0
132248,0.096,240.92,1.6,18.0,3.0,13.0,32.0,0.0
1608960,0.116,243.18,1.6,1.0,7.0,1.0,24.0,0.0
1120092,0.326,240.03,13.9,2.0,1.0,13.0,36.0,17.0
1941901,0.222,240.84,1.8,26.0,8.0,6.0,25.0,2.0
161923,0.0,241.11,9.4,4.0,8.0,4.0,7.0,0.0
146484,0.0,238.96,5.2,28.0,3.0,10.0,48.0,18.0
1726125,0.084,238.09,5.6,29.0,3.0,10.0,9.0,19.0
1342066,0.28,242.35,4.0,7.0,5.0,17.0,10.0,2.0
656984,0.104,244.1,7.4,16.0,3.0,23.0,8.0,18.0
1759069,0.2,240.91,2.6,21.0,4.0,7.0,13.0,1.0
319768,0.152,233.22500000000002,13.9,26.0,7.0,18.0,52.0,45.0
2011205,0.186,240.02,6.4,13.0,10.0,9.0,29.0,19.0
574812,0.0,236.9,6.6,19.0,1.0,21.0,36.0,19.0
427340,0.0,239.42,1.0,10.0,9.0,11.0,44.0,0.0
207740,0.202,239.79,1.4,5.0,9.0,23.0,44.0,2.0
807107,0.24,239.13,1.6,29.0,6.0,5.0,11.0,1.0
1309539,0.12389290560382264,240.82676954857766,4.647313526540645,13.0,6.0,3.0,3.0,7.813293638738684
1083223,0.072,246.93,5.8,1.0,6.0,23.0,7.0,19.0
1693420,0.254,239.79,9.8,3.0,6.0,17.0,4.0,20.0
1686892,0.116,242.97,2.2,3.0,2.0,4.0,16.0,0.0
66734,0.106,241.21,1.2,2.0,1.0,1.0,38.0,1.0
1719337,0.11,240.67,2.8,24.0,3.0,17.0,1.0,1.0
379592,0.226,236.67,7.2,9.0,6.0,7.0,56.0,17.0
748271,0.114,236.57,5.4,19.0,5.0,8.0,35.0,18.0
1761873,0.0,243.41,1.0,23.0,4.0,5.0,57.0,1.0
345888,0.0,238.57,0.4,13.0,8.0,22.0,12.0,0.0
1781685,0.0,238.44,1.2,5.0,7.0,0.0,9.0,1.0
1898361,0.0,240.65,5.4,27.0,7.0,0.0,45.0,1.0
188594,0.0,236.94,0.6,26.0,4.0,16.0,38.0,0.0
186554,0.208,234.24,8.6,25.0,4.0,6.0,38.0,0.0
1700118,0.084,241.84,7.2,3.0,11.0,8.0,42.0,19.0
1722419,0.218,239.13,12.6,26.0,3.0,20.0,23.0,18.0
96547,0.168,238.2,7.2,21.0,2.0,18.0,31.0,2.0
1608983,0.086,243.97,1.6,1.0,7.0,1.0,47.0,1.0
234378,0.142,233.22500000000002,6.0,28.0,5.0,11.0,42.0,17.0
446117,0.0,239.33,5.2,22.0,10.0,12.0,41.0,18.0
679865,0.052,235.77,10.4,4.0,1.0,20.0,29.0,17.0
1941735,0.174,239.95,1.6,26.0,8.0,3.0,39.0,1.0
1593177,0.0,246.2,1.4,27.0,12.0,2.0,21.0,1.0
1465068,0.0,243.16,0.4,29.0,9.0,3.0,12.0,1.0
147530,0.136,243.71,1.6,29.0,3.0,4.0,14.0,0.0
232389,0.084,235.55,1.4,27.0,5.0,2.0,33.0,0.0
1890497,0.18,240.53,3.4,21.0,7.0,13.0,41.0,1.0
1383827,0.0,241.05,5.0,8.0,3.0,17.0,11.0,19.0
851822,0.134,241.18,2.2,30.0,7.0,6.0,26.0,1.0
241678,0.068,235.72,2.4,6.0,2.0,13.0,22.0,0.0
1274436,0.24,241.75,2.0,19.0,5.0,18.0,0.0,2.0
129896,0.098,237.33,9.0,16.0,3.0,22.0,20.0,17.0
717663,0.088,242.55,1.6,28.0,4.0,2.0,27.0,1.0
1502078,0.0,237.37,12.6,24.0,10.0,20.0,2.0,18.0
1999558,0.052,237.12,7.6,10.0,5.0,7.0,22.0,18.0
151243,0.0,238.16,13.9,31.0,3.0,18.0,7.0,45.0
723830,0.0,240.62,1.0,5.0,2.0,9.0,14.0,1.0
1261773,0.218,242.92,3.0,5.0,10.0,22.0,57.0,1.0
1571376,0.122,248.08,4.0,12.0,11.0,23.0,0.0,5.0
167661,0.106,240.85,1.2,4.0,12.0,3.0,45.0,1.0
650849,0.0,244.62,1.0,3.0,12.0,16.0,53.0,0.0
763581,0.122,244.4,3.8,29.0,5.0,23.0,45.0,11.0
121025,0.206,241.01,2.4,3.0,10.0,18.0,29.0,2.0
79720,0.136,244.08,1.6,2.0,10.0,2.0,4.0,0.0
1877535,0.304,241.8,2.8,7.0,12.0,13.0,39.0,3.0
895916,0.066,239.11,0.8,29.0,8.0,21.0,20.0,1.0
279702,0.11,243.59,5.6,28.0,6.0,23.0,6.0,20.0
74555,0.0,242.95,2.6,2.0,6.0,11.0,59.0,0.0
887347,0.146,246.22,0.8,23.0,8.0,22.0,31.0,2.0
1129466,0.19,243.58,6.2,2.0,8.0,1.0,50.0,18.0
199276,0.2,237.12,1.4,5.0,4.0,2.0,40.0,0.0
153262,0.122,243.68,1.4,4.0,2.0,3.0,46.0,0.0
937193,0.0,241.88,5.4,27.0,9.0,13.0,17.0,18.0
809422,0.228,239.62,1.6,30.0,6.0,19.0,46.0,1.0
545610,0.14,242.87,13.9,30.0,12.0,14.0,54.0,45.0
1951632,0.0,244.52,0.8,9.0,2.0,0.0,36.0,0.0
1400974,0.19,240.76,2.6,15.0,8.0,14.0,58.0,2.0
1320508,0.09,242.17,1.0,20.0,6.0,17.0,52.0,1.0
830136,0.0,237.85,1.0,15.0,7.0,5.0,0.0,1.0
1903609,0.22,241.66,1.6,30.0,7.0,16.0,13.0,0.0
1073843,0.074,245.53,2.0,31.0,12.0,10.0,47.0,0.0
944550,0.23,242.4,2.0,10.0,2.0,15.0,54.0,2.0
2012552,0.06,239.05,11.2,14.0,10.0,7.0,56.0,19.0
1816943,0.0,239.16,5.2,31.0,5.0,11.0,47.0,18.0
688263,0.112,241.14,2.8,4.0,7.0,16.0,27.0,1.0
476888,0.0,238.97,7.4,11.0,12.0,21.0,32.0,0.0
1991942,0.082,242.63,1.8,30.0,9.0,0.0,26.0,1.0
1097033,0.092,242.28,1.4,16.0,1.0,13.0,17.0,1.0
106463,0.0,240.88,0.8,28.0,2.0,15.0,47.0,0.0
1581044,0.132,248.625,6.0,18.0,12.0,16.0,8.0,21.0
1664565,0.054,245.4,7.4,14.0,2.0,16.0,9.0,20.0
863088,0.266,241.36,3.8,8.0,7.0,2.0,12.0,13.0
1788129,0.056,241.99,6.6,5.0,11.0,11.0,33.0,19.0
1544971,0.118,247.56,2.0,23.0,11.0,14.0,55.0,0.0
1165325,0.0,242.27,11.0,3.0,4.0,23.0,29.0,0.0
862142,0.0,239.99,0.2,8.0,6.0,10.0,26.0,0.0
1214915,0.11,241.4,6.2,4.0,8.0,9.0,59.0,19.0
750708,0.0,240.12,0.6,21.0,5.0,1.0,12.0,1.0
1556319,0.108,241.35,6.0,12.0,1.0,12.0,3.0,18.0
165292,0.09,240.92,1.2,4.0,10.0,12.0,16.0,0.0
409266,0.0,242.17,3.6,26.0,9.0,22.0,30.0,0.0
1917047,0.126,243.08,1.2,8.0,9.0,0.0,11.0,0.0
1216515,0.0,244.87,5.6,4.0,9.0,12.0,39.0,19.0
346212,0.0,238.08,0.4,14.0,8.0,3.0,36.0,0.0
1539673,0.176,241.89,7.6,19.0,11.0,22.0,37.0,0.0
1229764,0.322,240.64,2.6,18.0,4.0,17.0,28.0,3.0
723868,0.40800000000000003,234.18,13.9,5.0,2.0,9.0,52.0,21.0
432688,0.078,240.06,1.2,13.0,10.0,4.0,52.0,1.0
946653,0.062,239.36,5.8,10.0,4.0,2.0,57.0,19.0
1603284,0.146,247.39,1.6,1.0,3.0,2.0,48.0,0.0
1262598,0.074,239.13,1.4,5.0,11.0,12.0,42.0,1.0
1959293,0.086,237.55,6.0,9.0,7.0,8.0,17.0,18.0
767536,0.13,241.0,5.2,6.0,1.0,17.0,40.0,2.0
954317,0.142,236.06,13.9,10.0,9.0,10.0,41.0,45.0
897197,0.254,240.4,1.4,30.0,8.0,18.0,41.0,1.0
1233316,0.078,241.31,5.6,21.0,4.0,4.0,40.0,1.0
390395,0.342,238.59,6.2,13.0,9.0,19.0,59.0,2.0
1159186,0.40800000000000003,237.25,12.4,28.0,2.0,17.0,10.0,37.0
1668361,0.19,238.8,3.6,17.0,2.0,7.0,25.0,0.0
219928,0.056,233.22500000000002,5.8,18.0,5.0,10.0,52.0,17.0
2008456,0.058,240.35,1.4,10.0,11.0,11.0,40.0,1.0
1495385,0.11,244.61,1.6,20.0,10.0,4.0,29.0,2.0
1553092,0.0,244.85,0.8,29.0,11.0,6.0,16.0,0.0
1059397,0.066,238.58,8.2,21.0,12.0,10.0,1.0,17.0
883389,0.148,238.9,0.8,21.0,8.0,4.0,33.0,1.0
689414,0.0,238.99,13.9,4.0,8.0,11.0,38.0,45.0
1119086,0.0,237.96,13.9,31.0,1.0,20.0,50.0,17.0
899662,0.06,238.08,9.0,9.0,1.0,11.0,46.0,29.0
1678280,0.0,243.82,1.2,24.0,2.0,4.0,44.0,0.0
1700801,0.096,236.97,13.9,3.0,11.0,20.0,5.0,19.0
602941,0.052,239.18,6.4,2.0,8.0,10.0,25.0,17.0
1545886,0.244,244.86,2.2,24.0,11.0,6.0,10.0,2.0
1849364,0.22,244.45,1.6,23.0,6.0,0.0,8.0,2.0
1717285,0.272,242.73,2.8,23.0,3.0,6.0,49.0,0.0
1868267,0.216,241.38,1.6,7.0,6.0,3.0,11.0,2.0
1295735,0.178,238.02,6.0,6.0,3.0,12.0,59.0,19.0
1279829,0.344,239.01,7.2,23.0,5.0,11.0,53.0,18.0
585177,0.186,248.625,2.4,27.0,1.0,2.0,21.0,2.0
44150,0.154,243.22,1.6,16.0,1.0,9.0,14.0,0.0
214909,0.206,240.16,6.6,14.0,5.0,23.0,13.0,18.0
1663481,0.094,239.82,6.6,13.0,2.0,22.0,5.0,18.0
2073375,0.066,241.48,1.0,25.0,11.0,13.0,39.0,0.0
1731333,0.096,240.83,1.4,4.0,2.0,0.0,57.0,0.0
736936,0.128,240.09,6.6,5.0,11.0,11.0,40.0,20.0
1790081,0.084,239.68,2.6,5.0,12.0,20.0,5.0,1.0
847356,0.108,238.98,1.2,27.0,7.0,4.0,0.0,1.0
1729494,0.242,241.25,2.0,31.0,3.0,18.0,18.0,1.0
873607,0.128,240.18,3.0,14.0,8.0,9.0,31.0,12.0
1453785,0.216,237.58,13.6,21.0,9.0,7.0,9.0,18.0
343195,0.126,237.2,1.0,8.0,12.0,1.0,19.0,0.0
1524953,0.124,236.73,3.8,11.0,9.0,17.0,17.0,1.0
37703,0.0,237.39,11.4,1.0,11.0,21.0,47.0,18.0
837153,0.0,239.76,0.6,20.0,7.0,1.0,57.0,0.0
543252,0.072,241.39,13.2,28.0,12.0,23.0,36.0,18.0
881959,0.276,241.54,1.6,20.0,8.0,4.0,43.0,2.0
1132717,0.076,240.01,7.6,2.0,10.0,8.0,1.0,17.0
1044707,0.072,244.54,5.4,12.0,11.0,5.0,11.0,18.0
1441853,0.40800000000000003,243.45,2.4,13.0,9.0,0.0,17.0,1.0
323158,0.216,236.18,1.4,29.0,7.0,3.0,22.0,0.0
310309,0.09,235.44,0.8,20.0,7.0,5.0,13.0,1.0
1388019,0.112,243.79,1.0,8.0,6.0,15.0,3.0,1.0
2040418,0.188,245.71,1.8,11.0,2.0,16.0,22.0,2.0
534406,0.40800000000000003,235.65,13.9,22.0,12.0,20.0,10.0,0.0
144274,0.19,239.68,3.8,26.0,3.0,21.0,58.0,1.0
1206533,0.0,244.82,5.8,4.0,2.0,14.0,17.0,18.0
23546,0.134,243.72,1.8,1.0,2.0,1.0,50.0,0.0
369565,0.134,239.97,5.6,30.0,8.0,8.0,49.0,17.0
1462972,0.222,242.72,1.6,27.0,9.0,16.0,16.0,1.0
363293,0.228,240.77,1.6,26.0,8.0,0.0,17.0,1.0
963147,0.06,240.53,3.0,15.0,10.0,13.0,51.0,6.0
1795244,0.056,240.85,7.0,16.0,5.0,10.0,8.0,19.0
1154067,0.0,246.43,1.0,25.0,2.0,3.0,51.0,0.0
866995,0.0,241.26,0.2,8.0,9.0,19.0,19.0,1.0
767923,0.096,245.73,1.0,6.0,2.0,0.0,7.0,0.0
74034,0.126,242.4,1.4,2.0,6.0,3.0,18.0,0.0
1781342,0.072,234.33,5.0,5.0,6.0,18.0,26.0,1.0
1409510,0.246,242.23,1.6,21.0,8.0,13.0,14.0,1.0
1732914,0.0,244.19,1.0,4.0,3.0,3.0,18.0,1.0
174618,0.0,243.07,5.2,16.0,4.0,23.0,42.0,18.0
1070546,0.212,245.76,1.8,29.0,12.0,3.0,50.0,0.0
1999396,0.07,242.44,1.4,10.0,5.0,4.0,40.0,1.0
1112478,0.104,242.07,2.8,27.0,1.0,6.0,42.0,0.0
477854,0.124,241.25,9.8,13.0,11.0,13.0,38.0,28.0
490299,0.0,243.26,1.0,22.0,11.0,5.0,3.0,0.0
1059168,0.078,243.04,1.2,21.0,12.0,6.0,12.0,0.0
1146990,0.062,243.07,1.2,20.0,2.0,5.0,54.0,0.0
490018,0.0,245.34,1.0,22.0,11.0,0.0,22.0,0.0
1334125,0.122,240.19,1.0,30.0,6.0,4.0,49.0,1.0
1338601,0.068,239.9,6.4,7.0,3.0,7.0,25.0,18.0
262935,0.198,240.34,1.4,17.0,6.0,7.0,39.0,0.0
1063803,0.0,239.74,1.2,24.0,12.0,11.0,27.0,0.0
231198,0.09,235.05,1.4,26.0,5.0,6.0,42.0,0.0
2047852,0.078,233.22500000000002,11.2,11.0,7.0,20.0,16.0,17.0
1670013,0.102,243.05,5.8,18.0,2.0,10.0,57.0,19.0
838125,0.062,239.84,1.0,20.0,7.0,18.0,9.0,1.0
987037,0.204,245.33,2.8,11.0,1.0,4.0,1.0,0.0
678341,0.0,240.71,1.2,31.0,3.0,19.0,5.0,0.0
859596,0.098,239.91,1.0,8.0,4.0,16.0,0.0,1.0
506372,0.09,239.81,5.8,12.0,3.0,8.0,56.0,18.0
1342602,0.142,241.67,1.0,7.0,6.0,2.0,6.0,0.0
911786,0.054,240.55,3.8,9.0,9.0,21.0,50.0,0.0
714577,0.0,242.24,1.2,25.0,4.0,23.0,1.0,1.0
809658,0.064,239.55,5.2,30.0,6.0,23.0,42.0,18.0
851404,0.236,241.5,2.6,29.0,7.0,23.0,28.0,1.0
1659542,0.086,246.5,1.4,2.0,11.0,4.0,26.0,1.0
1443797,0.0,241.64,5.4,14.0,9.0,8.0,41.0,19.0
378894,0.21,238.67,7.0,9.0,5.0,20.0,18.0,2.0
1717396,0.2,235.46,12.2,23.0,3.0,8.0,40.0,19.0
456292,0.122,245.67,1.4,29.0,10.0,14.0,16.0,0.0
2073075,0.0,239.3,7.4,25.0,11.0,8.0,39.0,17.0
418027,0.078,240.08,1.4,10.0,3.0,0.0,31.0,0.0
524073,0.0,243.78,6.4,15.0,12.0,15.0,57.0,22.0
877557,0.286,243.65,1.6,17.0,8.0,3.0,21.0,3.0
1968926,0.18,243.73,1.4,14.0,9.0,0.0,50.0,2.0
821850,0.234,239.66,3.4,7.0,9.0,10.0,54.0,1.0
2033949,0.09,247.31,1.4,29.0,10.0,4.0,33.0,1.0
1930609,0.12389290560382264,240.82676954857766,4.647313526540645,18.0,8.0,10.0,13.0,7.813293638738684
1854378,0.40800000000000003,240.34,5.2,26.0,6.0,11.0,42.0,13.0
318806,0.0,234.88,0.6,26.0,7.0,2.0,50.0,0.0
1508871,0.40800000000000003,240.19,13.9,29.0,10.0,13.0,15.0,45.0
891290,0.278,242.16,1.4,26.0,8.0,16.0,14.0,3.0
774263,0.07,237.3,5.2,6.0,6.0,9.0,47.0,18.0
353932,0.0,241.31,0.4,19.0,8.0,12.0,16.0,0.0
1794963,0.0,241.5,1.2,16.0,5.0,5.0,27.0,1.0
1668797,0.11,248.625,3.0,17.0,2.0,14.0,41.0,0.0
1657851,0.17,241.32,6.6,2.0,10.0,0.0,15.0,19.0
2052848,0.134,241.66,1.8,11.0,11.0,7.0,32.0,1.0
289257,0.0,241.09,0.8,7.0,5.0,14.0,21.0,0.0
1039774,0.168,237.1,13.9,12.0,7.0,18.0,58.0,19.0
423762,0.086,239.83,2.0,10.0,7.0,0.0,6.0,0.0
1562934,0.162,243.57,1.6,12.0,6.0,2.0,18.0,0.0
1890153,0.40800000000000003,238.95,9.2,21.0,7.0,7.0,57.0,32.0
1307422,0.048,242.59,6.0,6.0,11.0,15.0,46.0,19.0
1185594,0.0,244.27,0.8,19.0,3.0,1.0,18.0,0.0
721874,0.118,243.14,1.4,5.0,1.0,0.0,38.0,1.0
858605,0.094,237.8,1.0,8.0,3.0,23.0,29.0,1.0
1340080,0.126,240.84,1.8,7.0,4.0,8.0,4.0,1.0
1323977,0.09,241.29,5.4,23.0,6.0,3.0,41.0,19.0
1756559,0.18,241.58,6.2,19.0,4.0,13.0,23.0,19.0
1616492,0.15,244.51,8.2,1.0,12.0,6.0,56.0,19.0
1071604,0.09,243.09,1.2,29.0,12.0,21.0,28.0,0.0
496739,0.0,243.7,1.0,26.0,11.0,16.0,23.0,0.0
760032,0.0,238.77,3.6,27.0,5.0,12.0,36.0,1.0
1429667,0.28,240.87,4.0,9.0,4.0,13.0,11.0,12.0
328757,0.0,237.94,0.4,8.0,2.0,0.0,41.0,0.0
1824398,0.272,242.66,2.6,6.0,5.0,16.0,2.0,5.0
1523840,0.204,246.45,6.2,11.0,8.0,22.0,44.0,20.0
234727,0.068,235.81,5.4,28.0,5.0,17.0,31.0,17.0
1519668,0.234,243.41,1.8,11.0,6.0,1.0,12.0,1.0
663057,0.0,244.96,0.8,21.0,3.0,4.0,21.0,0.0
1616901,0.294,242.79,11.8,1.0,12.0,13.0,45.0,39.0
746056,0.146,235.92,6.4,17.0,5.0,19.0,40.0,17.0
593082,0.0,243.66,5.4,2.0,1.0,14.0,6.0,19.0
925250,0.11,239.96,1.0,19.0,9.0,6.0,14.0,3.0
1100406,0.326,233.22500000000002,13.9,18.0,1.0,21.0,30.0,45.0
187773,0.238,238.0,1.6,26.0,4.0,2.0,57.0,2.0
144606,0.0,243.26,1.0,27.0,3.0,3.0,30.0,0.0
1966084,0.176,239.9,7.4,9.0,12.0,1.0,28.0,1.0
1625301,0.132,245.62,8.0,18.0,1.0,9.0,45.0,20.0
1121072,0.0,248.625,1.0,2.0,2.0,5.0,56.0,0.0
532544,0.152,243.55,6.4,21.0,12.0,13.0,8.0,18.0
1320445,0.26,241.84,3.6,20.0,6.0,16.0,49.0,11.0
209780,0.164,233.28,6.2,5.0,11.0,9.0,44.0,17.0
535254,0.102,242.52,5.8,23.0,12.0,10.0,18.0,18.0
796831,0.0,242.08,0.6,22.0,6.0,1.0,55.0,1.0
771129,0.092,234.73,1.4,6.0,4.0,5.0,33.0,1.0
531425,0.074,240.61,10.2,20.0,12.0,18.0,29.0,18.0
1122883,0.056,245.01,5.8,2.0,3.0,12.0,7.0,18.0
2013631,0.064,243.71,1.4,15.0,10.0,1.0,55.0,2.0
1332875,0.0,237.48,6.2,29.0,6.0,7.0,59.0,18.0
299496,0.0,240.95,0.6,7.0,12.0,17.0,0.0,0.0
30298,0.134,236.02,4.0,1.0,6.0,18.0,22.0,0.0
708177,0.122,242.54,1.4,21.0,4.0,12.0,21.0,1.0
1893746,0.22,239.58,6.0,23.0,7.0,19.0,50.0,20.0
1544046,0.188,239.85,6.0,22.0,11.0,23.0,30.0,18.0
1063416,0.096,245.02,1.4,24.0,12.0,5.0,0.0,0.0
436639,0.11,244.28,2.0,15.0,10.0,22.0,43.0,0.0
1884948,0.0,241.95,0.6,17.0,7.0,17.0,12.0,1.0
1456524,0.0,241.58,0.6,23.0,9.0,4.0,48.0,1.0
